,Unnamed: 0,wss@95_old,wss@95_new,wss@R_old,wss@R_new,Recall_wss@95,Recall_wss@R,acc@95,acc@R,f1@95,f1@R,treshould@95,name,layer_size,attempt
0,0,0.2446,0.2628,0.1866,0.2004,0.9543,0.3543,0.3532436788082123,0.8121044039726257,0.1696292608976364,0.2070116996765136,0.40932906,ACEInhibitors,4,0
1,1,0.1663,0.1787,0.0055,0.0059,0.9543,0.0114,0.2749208807945251,0.9264240264892578,0.1541301310062408,0.0210526324808597,0.09880837,ACEInhibitors,4,1
2,2,0.2011,0.2161,0.189,0.203,0.9543,0.2914,0.3097310066223144,0.8686708807945251,0.1606541574001312,0.2350230365991592,0.15937102,ACEInhibitors,4,2
3,3,0.266,0.2858,0.2085,0.224,0.9543,0.3486,0.3746044337749481,0.8390031456947327,0.1744125336408615,0.2306238263845443,0.3790586,ACEInhibitors,4,3
4,4,0.2407,0.2586,0.072,0.0774,0.9543,0.0914,0.3492879867553711,0.9240506291389464,0.1687721014022827,0.1428571343421936,0.09555775,ACEInhibitors,4,4
5,5,0.309,0.34,0.5524,0.6078,0.9605,0.7105,0.4323353171348572,0.8802395462989807,0.2354838550090789,0.5192307233810425,0.09203174,ADHD,4,0
6,6,0.3474,0.3821,0.1937,0.2131,0.9605,0.2632,0.4706586897373199,0.8874251246452332,0.2482993155717849,0.2985074818134308,0.04506069,ADHD,4,1
7,7,0.3414,0.3755,0.4376,0.4814,0.9605,0.6316,0.4646706581115722,0.829940140247345,0.2462057173252105,0.4033613502979278,0.11010776,ADHD,4,2
8,8,0.3402,0.3742,0.4042,0.4446,0.9605,0.5263,0.4634730517864227,0.8826347589492798,0.2457912415266037,0.449438214302063,0.06444706,ADHD,4,3
9,9,0.4408,0.4849,0.1327,0.146,0.9605,0.1974,0.5640718340873718,0.8802395462989807,0.2862744927406311,0.2307692319154739,0.19786002,ADHD,4,4
10,10,0.0748,0.1048,0.0,0.0,0.9524,0.0,0.380952388048172,0.7142857313156128,0.4678362607955932,0.0,0.12967165,Antihistamines,4,0
11,11,0.085,0.119,0.0238,0.0333,0.9524,0.0476,0.3911564648151397,0.7176870703697205,0.4719763994216919,0.0879120901226997,0.39562875,Antihistamines,4,1
12,12,0.119,0.1667,0.0748,0.1048,0.9524,0.1429,0.4251700639724731,0.7278911471366882,0.4863221943378448,0.2307692468166351,0.26349318,Antihistamines,4,2
13,13,0.051,0.0714,0.0867,0.1214,0.9524,0.2024,0.3571428656578064,0.7142857313156128,0.4584527313709259,0.2881355881690979,0.30316654,Antihistamines,4,3
14,14,0.0459,0.0643,0.0,0.0,0.9643,0.0,0.3469387888908386,0.7142857313156128,0.4576270878314972,0.0,0.1875546,Antihistamines,4,4
15,15,0.0744,0.1097,0.1615,0.238,0.9521,0.6479,0.4130434691905975,0.6086956262588501,0.5105740427970886,0.5156950950622559,0.09673391,AtypicalAntipsychotics,4,0
16,16,0.0546,0.0804,0.1459,0.215,0.9549,0.6423,0.3922101557254791,0.595108687877655,0.502594530582428,0.5049833655357361,0.38466555,AtypicalAntipsychotics,4,1
17,17,0.0499,0.0736,0.1504,0.2217,0.9521,0.6169,0.3885869681835174,0.6086956262588501,0.5003701448440552,0.5034483075141907,0.5856856,AtypicalAntipsychotics,4,2
18,18,0.0409,0.0603,0.1452,0.214,0.9521,0.5718,0.3795289993286133,0.6195651888847351,0.4966935813426971,0.4915254414081573,0.21975917,AtypicalAntipsychotics,4,3
19,19,0.0518,0.0764,0.1029,0.1516,0.9549,0.7577,0.3894927501678467,0.510869562625885,0.5014793276786804,0.4990723431110382,0.18722768,AtypicalAntipsychotics,4,4
20,20,0.1289,0.1505,0.1407,0.1642,0.9524,0.3163,0.3059338629245758,0.7718871831893921,0.2818319201469421,0.2839694917201996,0.084014185,BetaBlockers,4,0
21,21,0.1479,0.1726,0.266,0.3104,0.9524,0.5442,0.3249027132987976,0.7344357967376709,0.2874743640422821,0.3695150017738342,0.28631327,BetaBlockers,4,1
22,22,0.1678,0.1959,0.264,0.3081,0.9524,0.5782,0.3448443710803985,0.7081711888313293,0.2936549484729767,0.3617021143436432,0.37455964,BetaBlockers,4,2
23,23,0.1382,0.1612,0.2019,0.2356,0.9524,0.4082,0.3151750862598419,0.7675096988677979,0.2845528423786163,0.3342618346214294,0.20848976,BetaBlockers,4,3
24,24,0.1294,0.151,0.0961,0.1121,0.9524,0.2075,0.306420236825943,0.804961085319519,0.2819738090038299,0.233269602060318,0.13340671,BetaBlockers,4,4
25,25,0.1034,0.1336,0.1979,0.2555,0.952,0.4908,0.3552412688732147,0.7029950022697449,0.399690181016922,0.4269662797451019,0.3596089,CalciumChannelBlockers,4,0
26,26,0.0888,0.1147,0.0301,0.0389,0.9557,0.0443,0.3386023342609405,0.780366063117981,0.3945163786411285,0.0833333283662796,0.04561238,CalciumChannelBlockers,4,1
27,27,0.0876,0.1131,0.1202,0.1552,0.952,0.1993,0.339434266090393,0.7853577136993408,0.3938931226730346,0.2950819730758667,0.06749678,CalciumChannelBlockers,4,2
28,28,0.0569,0.0734,0.0114,0.0148,0.952,0.0148,0.308652251958847,0.777870237827301,0.3830735087394714,0.0290909092873334,0.1344099,CalciumChannelBlockers,4,3
29,29,0.0305,0.0394,0.0073,0.0094,0.9889,0.0148,0.2620632350444793,0.7737104892730713,0.3766690194606781,0.028571430593729,0.09457643,CalciumChannelBlockers,4,4
30,30,0.018,0.0226,0.0082,0.0103,0.9583,0.0139,0.2471590936183929,0.7954545617103577,0.3424317836761474,0.0270270276814699,0.013991708,Estrogens,4,0
31,31,0.0294,0.0369,0.2465,0.3099,0.9583,0.6528,0.2585227191448211,0.65625,0.3458646535873413,0.4372093081474304,0.10162897,Estrogens,4,1
32,32,0.0294,0.0369,0.0439,0.0552,0.9583,0.0694,0.2585227191448211,0.7982954382896423,0.3458646535873413,0.1234567984938621,0.07803604,Estrogens,4,2
33,33,0.0123,0.0155,0.0603,0.0758,0.9583,0.0972,0.2414772659540176,0.7982954382896423,0.3407407402992248,0.1647058874368667,0.06449907,Estrogens,4,3
34,34,0.0833,0.1048,0.0183,0.023,0.9583,0.0694,0.3125,0.7727272510528564,0.3631578981876373,0.1111111119389534,0.08779073,Estrogens,4,4
35,35,0.263,0.3338,0.3858,0.4898,0.95,0.7625,0.5039787888526917,0.7347480058670044,0.4483775198459625,0.5495495796203613,0.6202512,NSAIDS,4,0
36,36,0.1808,0.2295,0.3586,0.4552,0.95,0.6875,0.4217506647109985,0.7506631016731262,0.4108107984066009,0.539215624332428,0.34727407,NSAIDS,4,1
37,37,0.1675,0.2126,0.0735,0.0933,0.95,0.1,0.4084880650043487,0.8037135004997253,0.4053333699703216,0.1777777820825576,0.2565511,NSAIDS,4,2
38,38,0.1702,0.216,0.3234,0.4105,0.95,0.525,0.4111405909061432,0.8090185523033142,0.4064171314239502,0.5384615659713745,0.40973908,NSAIDS,4,3
39,39,0.2126,0.2699,0.0663,0.0841,0.95,0.0875,0.4535809159278869,0.8037135004997253,0.4245809912681579,0.1590909212827682,0.18528023,NSAIDS,4,4
40,40,0.4239,0.4331,0.2642,0.2698,0.95,0.35,0.4928909838199615,0.907846212387085,0.0731472596526146,0.1379310339689254,0.21911474,Opiods,4,0
41,41,0.3887,0.397,0.3818,0.39,0.95,0.475,0.4576092660427093,0.9057398438453674,0.0687160938978195,0.1751151978969574,0.20762652,Opiods,4,1
42,42,0.5572,0.5692,0.3331,0.3403,0.95,0.4,0.6261190176010132,0.928909957408905,0.0966921150684356,0.1916167587041854,0.18529394,Opiods,4,2
43,43,0.5019,0.5127,0.5372,0.5488,0.95,0.8,0.5708267688751221,0.7498683333396912,0.0852974206209182,0.118738405406475,0.58960986,Opiods,4,3
44,44,0.4113,0.4201,0.3334,0.3405,0.95,0.425,0.4802527725696563,0.9052132964134216,0.0714957639575004,0.1588785052299499,0.11457911,Opiods,4,4
45,45,0.0322,0.0441,0.0141,0.0193,0.9542,0.0305,0.3223819434642792,0.7310061454772949,0.4310344457626343,0.0575539581477642,0.038619447,OralHypoglycemics,4,0
46,46,0.0548,0.075,0.0167,0.0229,0.9542,0.0229,0.3449692130088806,0.7371663451194763,0.4393673539161682,0.0447761192917823,0.33103064,OralHypoglycemics,4,1
47,47,0.0117,0.016,-0.0208,-0.0285,0.9542,0.0305,0.3018480539321899,0.6960985660552979,0.4237288534641266,0.0512820482254028,0.08882006,OralHypoglycemics,4,2
48,48,0.024,0.0329,-0.0041,-0.0056,0.9542,0.0,0.3141683638095855,0.7268993854522705,0.4280821979045868,0.0,0.04300023,OralHypoglycemics,4,3
